-71 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(and($DCUN1D1 $PTGER3) $HSPE1) or(!$DRG1 !$MARS $RBBP8)) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK $FAS !$XPOT) or(!$GRSF1 !$TMEM134) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and(or($IMPAD1 $SCFD1) $ELN) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-71, penalized score=-254.659912109375, complexity=41, complexity penalty=13.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-71 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(and($DCUN1D1 $PTGER3) $HSPE1) or(!$DRG1 !$MARS $RBBP8)) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK !$UQCRB !$XPOT) or(!$GRSF1 !$TMEM134) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and(or($IMPAD1 $SCFD1) $ELN) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-71, penalized score=-254.659912109375, complexity=41, complexity penalty=13.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-71 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(and($DCUN1D1 $PTGER3) $HSPE1) or(!$DRG1 !$MARS $RBBP8)) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) or(!$HSPE1 !$PTN) $PRKAG1) and(or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $CCT3 $MTHFD2) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and(or($IMPAD1 $SCFD1) $ELN) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-71, penalized score=-254.659912109375, complexity=41, complexity penalty=13.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-71 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(and($DCUN1D1 $PTGER3) $HSPE1) or(!$DRG1 !$MARS $RBBP8)) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) or(!$HSPE1 !$PTN) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$RNF7) and(or($IMPAD1 $SCFD1) $ELN) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-71, penalized score=-254.659912109375, complexity=41, complexity penalty=13.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-71 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(and($DCUN1D1 $PTGER3) $HSPE1) or(!$DRG1 !$MARS $RBBP8)) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or(!$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) or(!$HSPE1 !$PTN) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and(or($IMPAD1 $SCFD1) $ELN) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-71, penalized score=-254.659912109375, complexity=41, complexity penalty=13.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-74 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and($IMPA1 $MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-74, penalized score=-255.993240356445312, complexity=36, complexity penalty=12, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-74 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $RNF7) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and($IMPA1 $MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-74, penalized score=-256.99322509765625, complexity=39, complexity penalty=13, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-74 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A !$SYNPO) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and($IMPA1 $MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-74, penalized score=-256.99322509765625, complexity=39, complexity penalty=13, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-76 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A) and(or(!$GRSF1 !$TMEM134) !$DCK $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and(!$HIST3H2A !$MGST3 !$PNRC1 $TMEM134) and($IMPA1 $MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-76, penalized score=-257.659912109375, complexity=35, complexity penalty=11.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-75 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) or($CCDC59 $TMEM134) !$MGST3 !$PNRC1) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A) and(or(!$GRSF1 !$TMEM134) !$DCK $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and($IMPA1 $MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-75, penalized score=-257.659912109375, complexity=38, complexity penalty=12.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-75 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or(and($MRPL17 !$SCFD1) $ENPP2 $TRIM29) or($CCT3 $EFNA3) $ADRA2A) and(or(!$GRSF1 !$TMEM134) !$DCK $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and($IMPA1 $MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-75, penalized score=-257.659912109375, complexity=38, complexity penalty=12.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-75 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or(and(!$NTRK2 !$SCFD1) $ENPP2 $TRIM29) or($CCT3 $EFNA3) $ADRA2A) and(or(!$GRSF1 !$TMEM134) !$DCK $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and($IMPA1 $MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-75, penalized score=-257.659912109375, complexity=38, complexity penalty=12.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
